Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
0,0,aloo gobi,285,9.3,2.4,3.8,2.1,32.8,4.2,16.0,5.9,37.4,432.3,77.5,12.11,0.18,1.12,0.05,0.5,3.94,0.5,0.51,17.39,0.0,0.85,217.1,56.2,0.16,2.94,68.0,0.29,171.0,217.1,20.3,1.88,114.3
1,1,aloo matar,292,10.3,2.5,3.7,2.0,32.2,4.2,16.3,4.2,40.4,462.9,76.5,7.48,0.19,1.04,0.05,0.43,3.61,0.49,0.47,12.01,0.0,1.06,249.09,46.4,0.13,3.03,51.9,0.26,178.7,249.1,15.6,1.77,103.5
2,2,aloo palak,299,10.2,2.5,4.1,2.1,33.2,3.8,15.9,5.8,38.7,431.8,76.5,14.05,0.24,1.17,0.05,0.5,3.74,0.62,0.49,13.11,0.0,1.0,257.96,46.9,0.17,3.63,54.6,0.27,224.9,258.0,14.8,1.57,116.9
3,3,aloo jeera,265,10.2,2.6,3.5,1.9,31.5,4.3,16.1,4.3,42.0,419.2,77.6,10.07,0.22,1.16,0.05,0.45,4.06,0.49,0.49,11.12,0.0,1.31,241.6,47.2,0.14,2.43,57.3,0.29,184.9,241.6,18.6,1.63,102.6
4,4,aloo methi,290,10.1,2.6,3.5,1.9,31.2,3.7,17.0,4.2,41.9,437.9,76.5,7.54,0.23,1.34,0.05,0.44,4.04,0.5,0.56,12.76,0.0,0.94,250.87,55.0,0.13,3.0,48.1,0.22,204.3,250.9,16.3,1.78,105.4
5,5,aloo baingan,299,10.2,2.5,3.5,1.9,30.8,3.9,16.2,3.8,38.4,423.0,76.4,8.99,0.19,1.29,0.05,0.54,3.41,0.51,0.53,8.97,0.0,0.95,215.56,53.9,0.14,2.77,53.0,0.21,173.7,215.6,17.4,1.82,97.5
6,6,baingan bharta,289,10.2,2.7,3.3,2.0,31.3,4.2,15.4,3.8,39.7,445.1,77.0,7.75,0.19,1.29,0.05,0.46,4.19,0.54,0.42,13.02,0.0,1.26,180.96,59.6,0.16,2.27,46.2,0.21,187.4,181.0,16.5,2.04,94.4
7,7,bhindi masala,300,13.5,4.0,4.0,2.7,32.1,5.0,15.5,6.7,29.1,596.7,74.4,13.75,0.21,1.47,0.05,0.4,3.88,0.54,0.54,13.8,0.0,1.55,243.34,44.5,0.19,3.7,54.2,0.28,223.2,243.3,18.0,1.85,118.4
8,8,bharwa bhindi,277,10.1,2.5,3.7,1.9,33.0,3.9,15.8,4.1,38.9,438.4,77.4,9.87,0.18,1.11,0.05,0.55,4.41,0.47,0.45,9.72,0.0,1.3,269.17,59.4,0.13,2.36,54.5,0.26,201.4,269.2,18.7,1.54,102.2
9,9,gobi masala,324,12.6,4.1,4.8,2.4,28.4,4.7,16.1,8.7,30.4,577.1,73.9,14.82,0.2,1.36,0.05,0.48,4.38,0.61,0.44,20.36,0.0,1.15,248.46,57.9,0.22,3.95,78.4,0.41,197.6,248.5,14.9,2.04,133.8
10,10,gobi matar,296,10.1,2.6,4.0,1.9,30.3,3.9,17.9,6.2,42.0,475.1,75.9,11.16,0.19,1.09,0.05,0.57,4.72,0.58,0.57,13.03,0.0,1.29,314.62,66.5,0.2,3.83,49.1,0.35,197.4,314.6,21.7,2.17,124.5
